Day,Store,SKU,Name,Status,"Qty Ordered"
May-2024,AU,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,36
May-2024,AU,ROSITACHILLED,"Rosita Thermal Packaging",Complete,18
May-2024,AU,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,67
Apr-2024,AU,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,130
Apr-2024,AU,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,38
Apr-2024,AU,ROSITACHILLED,"Rosita Thermal Packaging",Complete,24
Mar-2024,UK,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,4
Mar-2024,UK,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,1
Mar-2024,UK,857605004021,"Ratfish Liver Oil (RFLO) 50ml",Complete,1
Mar-2024,NZ,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,3
Mar-2024,NZ,ROSITACHILLED,"Rosita Thermal Packaging",Complete,1
Mar-2024,NZ,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,6
Mar-2024,EU,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,6
Mar-2024,EU,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,2
Feb-2024,UK,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,1
Jan-2024,UK,857605004137,"Rosita Bee Bread",Complete,1
Jan-2024,UK,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid",Complete,1
Dec-2023,UK,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid ",Complete,2
Dec-2023,UK,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,12
Nov-2023,UK,857605004069,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Softgels",Complete,1
Nov-2023,UK,857605004007,"Rosita Extra Virgin Cod Liver Oil (EVCLO) Liquid ",Complete,5
