Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AU,*,*,*,,0,0.5,11.95,"""""""AU POST Express""""""",""
AU,*,*,*,,0,0.5,8.95,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,0.5,1,15.7,"""""""AU POST Express""""""",""
AU,*,*,*,,0.5,1,12.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,1,3,19.35,"""""""AU POST Express""""""",""
AU,*,*,*,,1,3,15.35,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,3,5,25.5,"""""""AU POST Express""""""",""
AU,*,*,*,,3,5,18.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,5,6,40,"""""""AU POST Express""""""",""
AU,*,*,*,,5,6,24.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,6,7,54.5,"""""""AU POST Express""""""",""
AU,*,*,*,,6,7,29.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,7,8,69,"""""""AU POST Express""""""",""
AU,*,*,*,,7,8,35.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,8,9,83.5,"""""""AU POST Express""""""",""
AU,*,*,*,,8,9,40.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,9,10,98,"""""""AU POST Express""""""",""
AU,*,*,*,,9,10,46.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,10,11,112.5,"""""""AU POST Express""""""",""
AU,*,*,*,,10,11,52.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,11,12,127,"""""""AU POST Express""""""",""
AU,*,*,*,,11,12,57.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,12,13,141.5,"""""""AU POST Express""""""",""
AU,*,*,*,,12,13,63.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,13,14,156,"""""""AU POST Express""""""",""
AU,*,*,*,,13,14,68.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,14,15,170.5,"""""""AU POST Express""""""",""
AU,*,*,*,,14,15,74.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,15,16,185,"""""""AU POST Express""""""",""
AU,*,*,*,,15,16,80.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,16,17,199.5,"""""""AU POST Express""""""",""
AU,*,*,*,,16,17,85.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,17,18,214,"""""""AU POST Express""""""",""
AU,*,*,*,,17,18,91.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,18,19,228.5,"""""""AU POST Express""""""",""
AU,*,*,*,,18,19,96.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,19,20,243,"""""""AU POST Express""""""",""
AU,*,*,*,,19,20,102.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,20,21,257.5,"""""""AU POST Express""""""",""
AU,*,*,*,,20,21,108.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,*,,21,22,272,"""""""AU POST Express""""""",""
AU,*,*,*,,21,22,113.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,5,6,31.2,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,5,6,19.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,6,7,36.9,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,6,7,21.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,7,8,42.6,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,7,8,22.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,8,9,48.3,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,8,9,24.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,9,10,54,"""""""AU POST Express""""""",""
AU,*,*,1000,2263,9,10,25.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,1000,2263,10,11,59.7,"""""""AU POST Express""""""",""
