Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AND,*,*,*,,0,0.5,36.276,"""""""DHL Express""""""",""
AND,*,*,*,,0,15,21.666,"""""""DHL Parcel Economy""""""",""
AND,*,*,*,,0.5,1,37.704,"""""""DHL Express""""""",""
AND,*,*,*,,1,1.5,39.66,"""""""DHL Express""""""",""
AND,*,*,*,,1.5,2,41.628,"""""""DHL Express""""""",""
AND,*,*,*,,2,2.5,43.596,"""""""DHL Express""""""",""
AND,*,*,*,,2.5,3,45.204,"""""""DHL Express""""""",""
AND,*,*,*,,3,3.5,46.824,"""""""DHL Express""""""",""
AND,*,*,*,,3.5,4,48.444,"""""""DHL Express""""""",""
AND,*,*,*,,4,4.5,50.064,"""""""DHL Express""""""",""
AND,*,*,*,,4.5,5,51.684,"""""""DHL Express""""""",""
AND,*,*,*,,5,5.5,53.196,"""""""DHL Express""""""",""
AND,*,*,*,,5.5,6,54.72,"""""""DHL Express""""""",""
AND,*,*,*,,6,6.5,56.232,"""""""DHL Express""""""",""
AND,*,*,*,,6.5,7,57.756,"""""""DHL Express""""""",""
AND,*,*,*,,7,7.5,59.268,"""""""DHL Express""""""",""
AND,*,*,*,,7.5,8,60.792,"""""""DHL Express""""""",""
AND,*,*,*,,8,8.5,62.316,"""""""DHL Express""""""",""
AND,*,*,*,,8.5,9,63.828,"""""""DHL Express""""""",""
AND,*,*,*,,9,9.5,65.352,"""""""DHL Express""""""",""
AND,*,*,*,,9.5,10,66.864,"""""""DHL Express""""""",""
AND,*,*,*,,10,11,63.636,"""""""DHL Express""""""",""
AND,*,*,*,,11,12,65.7,"""""""DHL Express""""""",""
AND,*,*,*,,12,13,67.764,"""""""DHL Express""""""",""
AND,*,*,*,,13,14,69.828,"""""""DHL Express""""""",""
AND,*,*,*,,14,15,71.892,"""""""DHL Express""""""",""
AND,*,*,*,,15,16,73.956,"""""""DHL Express""""""",""
