Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AD,*,*,*,,0.0000,0.5000,34.0000,"DHL Express Worldwide",""
AD,*,*,*,,0.0000,0.5000,34.0000,"UPS Express Saver",""
AD,*,*,*,,0.5000,1.0000,40.0000,"DHL Express Worldwide",""
AD,*,*,*,,0.5000,1.0000,37.0000,"UPS Express Saver",""
AD,*,*,*,,1.0000,1.5000,43.0000,"DHL Express Worldwide",""
AD,*,*,*,,1.0000,1.5000,40.0000,"UPS Express Saver",""
AD,*,*,*,,1.5000,2.0000,48.0000,"DHL Express Worldwide",""
AD,*,*,*,,1.5000,2.0000,45.0000,"UPS Express Saver",""
AD,*,*,*,,2.0000,2.5000,51.0000,"DHL Express Worldwide",""
AD,*,*,*,,2.0000,2.5000,48.0000,"UPS Express Saver",""
AD,*,*,*,,2.5000,3.0000,54.0000,"DHL Express Worldwide",""
AD,*,*,*,,2.5000,3.0000,50.0000,"UPS Express Saver",""
AD,*,*,*,,3.0000,3.5000,57.0000,"DHL Express Worldwide",""
AD,*,*,*,,3.0000,3.5000,52.0000,"UPS Express Saver",""
AD,*,*,*,,3.5000,4.0000,60.0000,"DHL Express Worldwide",""
AD,*,*,*,,3.5000,4.0000,55.0000,"UPS Express Saver",""
AD,*,*,*,,4.0000,4.5000,63.0000,"DHL Express Worldwide",""
AD,*,*,*,,4.0000,4.5000,57.0000,"UPS Express Saver",""
AD,*,*,*,,4.5000,5.0000,65.0000,"DHL Express Worldwide",""
AD,*,*,*,,4.5000,5.0000,60.0000,"UPS Express Saver",""
AD,*,*,*,,5.0000,5.5000,68.0000,"DHL Express Worldwide",""
AD,*,*,*,,5.0000,5.5000,62.0000,"UPS Express Saver",""
AD,*,*,*,,5.5000,6.0000,71.0000,"DHL Express Worldwide",""
AD,*,*,*,,5.5000,6.0000,64.0000,"UPS Express Saver",""
AD,*,*,*,,6.0000,6.5000,73.0000,"DHL Express Worldwide",""
AD,*,*,*,,6.0000,6.5000,66.0000,"UPS Express Saver",""
AD,*,*,*,,6.5000,7.0000,76.0000,"DHL Express Worldwide",""
AD,*,*,*,,6.5000,7.0000,68.0000,"UPS Express Saver",""
AD,*,*,*,,7.0000,7.5000,79.0000,"DHL Express Worldwide",""
AD,*,*,*,,7.0000,7.5000,69.0000,"UPS Express Saver",""
AD,*,*,*,,7.5000,8.0000,82.0000,"DHL Express Worldwide",""
AD,*,*,*,,7.5000,8.0000,71.0000,"UPS Express Saver",""
AD,*,*,*,,8.0000,8.5000,84.0000,"DHL Express Worldwide",""
AD,*,*,*,,8.0000,8.5000,73.0000,"UPS Express Saver",""
AD,*,*,*,,8.5000,9.0000,87.0000,"DHL Express Worldwide",""
AD,*,*,*,,8.5000,9.0000,75.0000,"UPS Express Saver",""
AD,*,*,*,,9.0000,9.5000,90.0000,"DHL Express Worldwide",""
AD,*,*,*,,9.0000,9.5000,77.0000,"UPS Express Saver",""
AD,*,*,*,,9.5000,10.0000,93.0000,"DHL Express Worldwide",""
AD,*,*,*,,9.5000,10.0000,80.0000,"UPS Express Saver",""
AD,*,*,*,,10.0000,10.5000,96.0000,"DHL Express Worldwide",""
AD,*,*,*,,10.0000,11.0000,84.0000,"UPS Express Saver",""
AD,*,*,*,,10.5000,11.0000,98.0000,"DHL Express Worldwide",""
AD,*,*,*,,11.0000,11.5000,100.0000,"DHL Express Worldwide",""
AD,*,*,*,,11.0000,12.0000,88.0000,"UPS Express Saver",""
AD,*,*,*,,11.5000,12.0000,102.0000,"DHL Express Worldwide",""
AD,*,*,*,,12.0000,12.5000,104.0000,"DHL Express Worldwide",""
AD,*,*,*,,12.0000,13.0000,92.0000,"UPS Express Saver",""
AD,*,*,*,,12.5000,13.0000,106.0000,"DHL Express Worldwide",""
AD,*,*,*,,13.0000,13.5000,109.0000,"DHL Express Worldwide",""
AD,*,*,*,,13.0000,14.0000,96.0000,"UPS Express Saver",""
AD,*,*,*,,13.5000,14.0000,111.0000,"DHL Express Worldwide",""
AD,*,*,*,,14.0000,14.5000,113.0000,"DHL Express Worldwide",""
AD,*,*,*,,14.0000,15.0000,99.0000,"UPS Express Saver",""
AD,*,*,*,,14.5000,15.0000,115.0000,"DHL Express Worldwide",""
AD,*,*,*,,15.0000,15.5000,117.0000,"DHL Express Worldwide",""
AD,*,*,*,,15.0000,16.0000,103.0000,"UPS Express Saver",""
AD,*,*,*,,15.5000,16.0000,119.0000,"DHL Express Worldwide",""
AD,*,*,*,,16.0000,16.5000,121.0000,"DHL Express Worldwide",""
AD,*,*,*,,16.0000,17.0000,107.0000,"UPS Express Saver",""
AD,*,*,*,,16.5000,17.0000,124.0000,"DHL Express Worldwide",""
AD,*,*,*,,17.0000,17.5000,126.0000,"DHL Express Worldwide",""
AD,*,*,*,,17.0000,18.0000,111.0000,"UPS Express Saver",""
AD,*,*,*,,17.5000,18.0000,128.0000,"DHL Express Worldwide",""
AD,*,*,*,,18.0000,18.5000,130.0000,"DHL Express Worldwide",""
AD,*,*,*,,18.0000,19.0000,115.0000,"UPS Express Saver",""
AD,*,*,*,,18.5000,19.0000,132.0000,"DHL Express Worldwide",""
AD,*,*,*,,19.0000,19.5000,135.0000,"DHL Express Worldwide",""
AD,*,*,*,,19.0000,20.0000,120.0000,"UPS Express Saver",""
AD,*,*,*,,19.5000,20.0000,138.0000,"DHL Express Worldwide",""
AD,*,*,*,,20.0000,20.5000,141.0000,"DHL Express Worldwide",""
AD,*,*,*,,20.0000,22.0000,127.0000,"UPS Express Saver",""
AD,*,*,*,,20.5000,21.0000,143.0000,"DHL Express Worldwide",""
AD,*,*,*,,21.0000,21.5000,145.0000,"DHL Express Worldwide",""
AD,*,*,*,,21.5000,22.0000,147.0000,"DHL Express Worldwide",""
AD,*,*,*,,22.0000,22.5000,150.0000,"DHL Express Worldwide",""
AD,*,*,*,,22.0000,24.0000,134.0000,"UPS Express Saver",""
AD,*,*,*,,22.5000,23.0000,152.0000,"DHL Express Worldwide",""
AD,*,*,*,,23.0000,23.5000,154.0000,"DHL Express Worldwide",""
AD,*,*,*,,23.5000,24.0000,156.0000,"DHL Express Worldwide",""
AD,*,*,*,,24.0000,24.5000,159.0000,"DHL Express Worldwide",""
AD,*,*,*,,24.0000,26.0000,141.0000,"UPS Express Saver",""
AD,*,*,*,,24.5000,25.0000,161.0000,"DHL Express Worldwide",""
AD,*,*,*,,25.0000,25.5000,163.0000,"DHL Express Worldwide",""
AD,*,*,*,,25.5000,26.0000,165.0000,"DHL Express Worldwide",""
AD,*,*,*,,26.0000,26.5000,168.0000,"DHL Express Worldwide",""
AD,*,*,*,,26.0000,28.0000,148.0000,"UPS Express Saver",""
AD,*,*,*,,26.5000,27.0000,170.0000,"DHL Express Worldwide",""
AD,*,*,*,,27.0000,27.5000,172.0000,"DHL Express Worldwide",""
AD,*,*,*,,27.5000,28.0000,174.0000,"DHL Express Worldwide",""
AD,*,*,*,,28.0000,28.5000,177.0000,"DHL Express Worldwide",""
AD,*,*,*,,28.0000,30.0000,157.0000,"UPS Express Saver",""
AD,*,*,*,,28.5000,29.0000,179.0000,"DHL Express Worldwide",""
AD,*,*,*,,29.0000,29.5000,181.0000,"DHL Express Worldwide",""
AD,*,*,*,,29.5000,30.0000,185.0000,"DHL Express Worldwide",""
AD,*,*,*,,30.0000,31.0000,190.0000,"DHL Express Worldwide",""
AD,*,*,*,,30.0000,35.0000,178.0000,"UPS Express Saver",""
AD,*,*,*,,31.0000,32.0000,195.0000,"DHL Express Worldwide",""
AD,*,*,*,,32.0000,33.0000,200.0000,"DHL Express Worldwide",""
AD,*,*,*,,33.0000,34.0000,206.0000,"DHL Express Worldwide",""
AD,*,*,*,,34.0000,35.0000,211.0000,"DHL Express Worldwide",""
AD,*,*,*,,35.0000,36.0000,216.0000,"DHL Express Worldwide",""
AD,*,*,*,,35.0000,40.0000,199.0000,"UPS Express Saver",""
AD,*,*,*,,36.0000,37.0000,221.0000,"DHL Express Worldwide",""
AD,*,*,*,,37.0000,38.0000,226.0000,"DHL Express Worldwide",""
AD,*,*,*,,38.0000,39.0000,232.0000,"DHL Express Worldwide",""
AD,*,*,*,,39.0000,40.0000,237.0000,"DHL Express Worldwide",""
AE,*,*,*,,0.0000,0.5000,46.0000,"DHL Express Worldwide",""
AE,*,*,*,,0.0000,0.5000,39.0000,"UPS Express Saver",""
AE,*,*,*,,0.5000,1.0000,51.0000,"DHL Express Worldwide",""
AE,*,*,*,,0.5000,1.0000,44.0000,"UPS Express Saver",""
AE,*,*,*,,1.0000,1.5000,54.0000,"DHL Express Worldwide",""
AE,*,*,*,,1.0000,1.5000,49.0000,"UPS Express Saver",""
AE,*,*,*,,1.5000,2.0000,60.0000,"DHL Express Worldwide",""
AE,*,*,*,,1.5000,2.0000,57.0000,"UPS Express Saver",""
AE,*,*,*,,2.0000,2.5000,63.0000,"DHL Express Worldwide",""
AE,*,*,*,,2.0000,2.5000,62.0000,"UPS Express Saver",""
AE,*,*,*,,2.5000,3.0000,66.0000,"DHL Express Worldwide",""
AE,*,*,*,,2.5000,3.0000,66.0000,"UPS Express Saver",""
AE,*,*,*,,3.0000,3.5000,69.0000,"DHL Express Worldwide",""
AE,*,*,*,,3.0000,3.5000,70.0000,"UPS Express Saver",""
AE,*,*,*,,3.5000,4.0000,73.0000,"DHL Express Worldwide",""
AE,*,*,*,,3.5000,4.0000,73.0000,"UPS Express Saver",""
AE,*,*,*,,4.0000,4.5000,76.0000,"DHL Express Worldwide",""
AE,*,*,*,,4.0000,4.5000,77.0000,"UPS Express Saver",""
AE,*,*,*,,4.5000,5.0000,79.0000,"DHL Express Worldwide",""
AE,*,*,*,,4.5000,5.0000,81.0000,"UPS Express Saver",""
AE,*,*,*,,5.0000,5.5000,82.0000,"DHL Express Worldwide",""
AE,*,*,*,,5.0000,5.5000,84.0000,"UPS Express Saver",""
AE,*,*,*,,5.5000,6.0000,86.0000,"DHL Express Worldwide",""
AE,*,*,*,,5.5000,6.0000,88.0000,"UPS Express Saver",""
AE,*,*,*,,6.0000,6.5000,89.0000,"DHL Express Worldwide",""
AE,*,*,*,,6.0000,6.5000,92.0000,"UPS Express Saver",""
AE,*,*,*,,6.5000,7.0000,92.0000,"DHL Express Worldwide",""
AE,*,*,*,,6.5000,7.0000,95.0000,"UPS Express Saver",""
AE,*,*,*,,7.0000,7.5000,95.0000,"DHL Express Worldwide",""
AE,*,*,*,,7.0000,7.5000,99.0000,"UPS Express Saver",""
AE,*,*,*,,7.5000,8.0000,98.0000,"DHL Express Worldwide",""
AE,*,*,*,,7.5000,8.0000,103.0000,"UPS Express Saver",""
AE,*,*,*,,8.0000,8.5000,102.0000,"DHL Express Worldwide",""
AE,*,*,*,,8.0000,8.5000,106.0000,"UPS Express Saver",""
AE,*,*,*,,8.5000,9.0000,105.0000,"DHL Express Worldwide",""
AE,*,*,*,,8.5000,9.0000,110.0000,"UPS Express Saver",""
AE,*,*,*,,9.0000,9.5000,108.0000,"DHL Express Worldwide",""
AE,*,*,*,,9.0000,9.5000,113.0000,"UPS Express Saver",""
AE,*,*,*,,9.5000,10.0000,113.0000,"DHL Express Worldwide",""
AE,*,*,*,,9.5000,10.0000,118.0000,"UPS Express Saver",""
AE,*,*,*,,10.0000,10.5000,116.0000,"DHL Express Worldwide",""
AE,*,*,*,,10.0000,11.0000,118.0000,"UPS Express Saver",""
AE,*,*,*,,10.5000,11.0000,119.0000,"DHL Express Worldwide",""
AE,*,*,*,,11.0000,11.5000,122.0000,"DHL Express Worldwide",""
AE,*,*,*,,11.0000,12.0000,125.0000,"UPS Express Saver",""
AE,*,*,*,,11.5000,12.0000,125.0000,"DHL Express Worldwide",""
AE,*,*,*,,12.0000,12.5000,128.0000,"DHL Express Worldwide",""
AE,*,*,*,,12.0000,13.0000,131.0000,"UPS Express Saver",""
AE,*,*,*,,12.5000,13.0000,131.0000,"DHL Express Worldwide",""
AE,*,*,*,,13.0000,13.5000,134.0000,"DHL Express Worldwide",""
AE,*,*,*,,13.0000,14.0000,137.0000,"UPS Express Saver",""
AE,*,*,*,,13.5000,14.0000,137.0000,"DHL Express Worldwide",""
AE,*,*,*,,14.0000,14.5000,141.0000,"DHL Express Worldwide",""
AE,*,*,*,,14.0000,15.0000,143.0000,"UPS Express Saver",""
AE,*,*,*,,14.5000,15.0000,144.0000,"DHL Express Worldwide",""
AE,*,*,*,,15.0000,15.5000,147.0000,"DHL Express Worldwide",""
AE,*,*,*,,15.0000,16.0000,149.0000,"UPS Express Saver",""
AE,*,*,*,,15.5000,16.0000,150.0000,"DHL Express Worldwide",""
AE,*,*,*,,16.0000,16.5000,153.0000,"DHL Express Worldwide",""
AE,*,*,*,,16.0000,17.0000,155.0000,"UPS Express Saver",""
AE,*,*,*,,16.5000,17.0000,156.0000,"DHL Express Worldwide",""
AE,*,*,*,,17.0000,17.5000,159.0000,"DHL Express Worldwide",""
AE,*,*,*,,17.0000,18.0000,161.0000,"UPS Express Saver",""
AE,*,*,*,,17.5000,18.0000,162.0000,"DHL Express Worldwide",""
AE,*,*,*,,18.0000,18.5000,165.0000,"DHL Express Worldwide",""
AE,*,*,*,,18.0000,19.0000,168.0000,"UPS Express Saver",""
AE,*,*,*,,18.5000,19.0000,169.0000,"DHL Express Worldwide",""
AE,*,*,*,,19.0000,19.5000,172.0000,"DHL Express Worldwide",""
AE,*,*,*,,19.0000,20.0000,175.0000,"UPS Express Saver",""
AE,*,*,*,,19.5000,20.0000,176.0000,"DHL Express Worldwide",""
AE,*,*,*,,20.0000,20.5000,180.0000,"DHL Express Worldwide",""
AE,*,*,*,,20.0000,22.0000,189.0000,"UPS Express Saver",""
AE,*,*,*,,20.5000,21.0000,183.0000,"DHL Express Worldwide",""
